id,theme_id,category_id,start_m,investments_m,crowdfunding_m,team_idx,tech_idx,comp_idx,social_idx,demand_idx
1,3,4,19250,3000,31653,7.5,5.0,6.5,5.2,7.2
2,6,3,16500,60000,14368,9.5,7.3,6.4,4.9,3.0
3,7,10,46000,59000,8015,5.2,5.9,7.9,2.7,5.2
4,4,3,49000,153500,42311,7.8,5.4,5.8,3.9,8.3
5,7,5,15000,133500,20118,8.4,1.7,4.3,9.2,4.2
6,6,10,50000,98000,49956,9.4,4.8,4.9,1.1,8.1
7,7,3,5500,137500,2750,5.2,6.6,1.1,2.2,5.6
8,5,5,3250,148500,45373,2.8,4.0,5.1,1.1,1.6
9,6,10,51000,187500,19848,5.0,2.1,7.3,7.8,8.5
10,3,9,72500,122500,4489,2.7,9.0,2.0,5.6,1.1
11,5,7,17500,60000,32937,8.7,2.3,1.2,7.3,7.8
12,5,4,33750,147000,20438,1.5,3.1,4.7,5.0,9.9
13,7,2,26000,164000,32230,5.5,3.0,3.9,2.1,6.5
14,8,3,74500,168000,34361,2.9,9.6,2.9,3.1,8.1
15,4,9,67000,120000,8904,3.3,5.5,9.9,6.8,2.4
16,6,10,49250,175000,22923,7.5,6.1,2.6,4.6,10.0
17,9,6,99250,191000,20428,4.0,5.1,8.0,3.8,4.2
18,8,6,34750,156500,48243,9.7,1.0,9.2,1.0,8.4
19,4,6,45000,145500,34258,5.6,1.3,7.4,1.1,5.0
20,7,1,61750,168500,11880,9.8,5.2,7.7,4.5,6.1
21,3,10,23250,20500,38240,3.6,5.4,9.5,2.6,4.9
22,7,1,28000,91000,45133,3.9,10.0,3.8,9.3,8.3
23,8,3,70250,172500,38782,1.3,9.0,8.2,9.9,8.6
24,2,9,91500,71000,33900,9.6,6.0,7.0,4.2,3.9
25,4,5,72750,160000,11500,7.2,2.0,9.9,7.5,6.5
26,5,5,58750,61500,37039,6.5,3.3,3.7,3.2,4.8
27,6,10,78250,28500,7309,5.6,1.3,4.2,2.2,5.1
28,2,3,3500,146500,34468,9.0,5.9,7.7,8.3,3.1
29,8,2,11750,77000,8276,3.2,2.5,7.5,5.2,6.7
30,6,10,14000,94500,32736,7.8,7.9,2.8,4.4,7.2
31,8,2,14000,195000,13060,9.8,6.5,7.3,7.0,1.5
32,6,3,22750,114500,6730,1.0,6.2,3.0,9.9,9.1
33,2,9,95750,60000,32669,7.4,1.2,7.2,4.2,6.2
34,5,3,44750,18500,7845,7.3,3.0,3.0,7.7,8.4
35,4,7,3000,74000,43402,3.4,6.1,1.9,8.4,2.0
36,7,2,96750,83000,18807,2.9,1.1,2.1,5.0,3.2
37,1,8,49500,19000,40063,2.7,6.0,5.3,2.3,8.5
38,7,8,94000,43500,14776,2.2,7.2,5.2,3.6,8.1
39,3,4,62250,163000,9776,5.9,2.9,8.0,7.3,3.8
40,8,5,5250,176500,32151,4.9,3.3,5.9,5.0,2.6
41,3,5,59750,125500,7741,7.5,2.9,5.3,2.1,2.2
42,5,6,30750,180000,3288,9.9,2.3,5.7,7.0,5.5
43,2,4,95250,166500,8641,5.7,1.3,6.4,1.6,8.1
44,9,4,63250,59000,6729,5.2,4.8,8.3,8.5,6.7
45,8,1,4750,16500,20114,8.3,10.0,3.5,6.6,2.8
46,8,6,9000,145500,48512,3.4,7.6,6.0,6.6,4.3
47,5,8,97250,23000,38304,2.4,4.3,9.5,4.8,8.9
48,4,9,48750,148500,18020,9.7,2.5,5.9,8.4,3.5
49,7,9,68000,80000,15612,1.8,8.1,3.8,3.5,3.1
50,2,1,26750,141000,25769,5.4,7.0,7.5,5.8,9.1
51,5,1,58000,128500,33991,3.1,5.5,2.0,3.6,1.3
52,7,5,91500,7000,39594,9.5,6.2,5.7,5.7,4.1
53,7,10,84000,28000,38071,8.6,2.8,5.4,4.1,5.4
54,1,7,58000,73000,11760,9.6,5.3,4.2,6.5,8.1
55,6,8,90500,10000,10178,5.2,9.2,8.0,9.8,7.8
56,4,8,8250,70500,3159,7.5,7.0,8.4,2.2,7.0
57,1,8,62250,42500,15352,3.2,4.5,5.1,6.7,2.5
58,5,8,11000,22000,47541,6.1,2.1,3.4,2.1,8.5
59,6,9,10750,14000,11045,6.5,4.2,6.3,4.2,6.1
60,9,9,75500,2000,48525,1.4,3.4,8.4,5.9,4.0
61,5,2,38250,69000,34053,2.9,4.2,8.3,9.4,8.2
62,4,8,20500,74500,46129,9.4,4.8,5.0,3.6,1.0
63,5,6,83500,47500,23326,8.1,5.0,3.1,7.9,1.3
64,4,5,1000,32500,8188,9.1,3.5,6.5,4.5,7.8
65,8,8,22000,2500,37926,8.0,4.6,8.4,6.6,5.5
66,2,4,68750,27000,6326,4.1,3.4,9.5,1.8,6.3
67,1,7,74750,135000,39806,1.7,3.0,6.9,6.1,3.1
68,5,2,98000,60000,14172,6.1,4.7,6.9,5.6,8.2
69,2,2,6750,17000,11327,4.0,3.3,6.8,6.9,4.2
70,2,1,91250,88500,17184,3.8,4.7,6.9,7.3,3.1
71,5,7,61500,119000,43421,2.6,2.0,5.0,8.6,2.4
72,5,10,16750,93500,9387,8.9,3.6,3.5,4.3,2.5
73,7,4,33750,148500,6513,7.7,7.8,6.0,9.5,9.5
74,2,6,39250,194000,32514,5.7,7.9,6.2,1.7,7.4
75,3,4,99250,77000,26065,4.4,9.0,7.7,1.8,9.5
76,9,2,94750,65000,24074,5.5,4.8,5.2,8.4,3.8
77,8,7,92750,38500,34318,7.9,5.1,5.2,4.5,7.6
78,1,6,90000,115500,43166,4.7,9.8,6.7,1.1,8.3
79,6,4,52250,45500,2012,8.4,5.0,3.6,5.7,2.5
80,4,6,6750,126000,28019,1.6,8.1,3.1,2.5,3.9
81,9,1,60500,77000,12739,4.2,3.1,6.5,2.5,3.8
82,3,6,5500,69500,48551,5.1,5.0,6.6,1.1,3.7
83,3,7,15250,52500,25053,6.8,9.6,6.0,8.7,6.4
84,3,2,99500,105000,24174,4.6,5.2,3.4,2.0,6.5
85,9,9,31750,96000,29662,6.4,3.6,1.0,9.0,1.4
86,9,9,58500,123000,43793,2.9,3.8,8.4,4.4,9.5
87,6,9,66000,55500,29340,1.8,5.2,7.0,3.1,7.7
88,4,6,74750,180000,18820,2.5,3.8,2.5,1.8,5.0
89,5,7,9750,89000,37993,6.9,7.1,6.5,7.9,1.6
90,5,9,95500,55000,8043,7.9,9.2,3.2,6.4,2.9
91,4,10,7000,67000,13927,2.5,1.3,2.3,6.8,9.9
92,8,2,50250,13500,32195,6.8,7.9,5.1,9.6,3.8
93,5,10,62000,50500,32725,8.1,4.3,4.7,3.2,2.7
94,3,10,25250,13000,46978,6.0,4.3,4.0,2.8,3.3
95,2,8,44000,76500,6961,8.8,2.6,5.4,6.0,1.9
96,6,9,97000,171500,31456,8.7,1.9,7.3,3.4,4.6
97,2,8,21250,184500,3163,6.8,6.7,2.5,2.6,7.1
98,2,8,53000,190000,47721,9.6,2.5,8.1,3.7,5.9
99,7,4,48250,99000,10867,5.4,6.7,4.6,4.6,4.2
100,4,3,11000,92000,8812,8.9,4.6,9.1,3.8,4.7
101,2,6,19500,109500,13457,1.7,2.9,6.6,8.4,6.5
102,1,9,54750,140000,16900,2.2,8.0,7.8,5.7,7.1
103,8,5,48000,110500,22415,7.4,8.3,1.1,4.5,5.0
104,5,1,91500,182000,44897,6.4,2.0,3.9,5.3,8.8
105,3,3,78500,17500,39148,5.0,5.6,4.6,9.0,7.8
106,2,6,70000,102500,38842,1.1,2.1,3.2,1.1,3.0
107,4,9,82000,149000,48343,2.8,7.7,4.9,4.5,5.5
108,5,3,43000,41000,14134,3.6,1.3,6.9,2.1,9.0
109,9,4,13500,129500,2392,4.9,3.3,3.3,8.7,9.4
110,6,10,36000,63000,24103,1.6,1.8,8.1,8.8,3.6
111,8,8,42750,64000,48676,7.1,3.6,6.9,4.9,1.9
